state,name,birth_date,start_date,end_date,mandatory_retirement,ticket_party,appointer_name,appointer_party,chief_justice,chief_term,law_school,Unnamed: 0,JID,gender,party,race,professional experience,election type,term start,term end,next election date,match_quality
Arkansas,Barbara Womack Webb,1956 or 1957,"January 1, 2021",2028,2028,,,,False,,Arkansas,20.0,a8d788e7-42fc-412f-8bac-d228400d4240,female,unsure,white,"prosecutor, corporate, misc. private practice, judicial, other exec branch experience","elected, nonpartisan","january 1, 2021","december 31, 2028","november 7, 2028",High
Arkansas,J. Cody Hiland,1972,"July 3, 2023",2026,2048,,Sarah Huckabee Sanders,R,False,,UA Little Rock,127.0,7209e0fd-b2a3-43e9-9c33-1f23e22ac1ca,male,republican,white,"prosecutor, misc. private practice, other exec branch experience",appointed,"july 3, 2023","january 1, 2025","november 7, 2024",High
Arkansas,Nicholas Bronni,1982 or 1983,"January 1, 2025",2026,2056,,Sarah Huckabee Sanders,R,False,,Michigan,,,,,,,,,,,
Colorado,Monica Márquez,"April 20, 1969","December 10, 2010","January 9, 2035",2041,,Bill Ritter,D,True,2024–present,Yale,239.0,c3bb73c7-9f41-43b5-9292-82c42bc9216f,female,democrat,latino,"prosecutor, corporate, government civil (non civil rights)","appointed, retention elected","december 10, 2010","january 13, 2025","november 5, 2024",High
Colorado,Brian Boatright,"June 16, 1962","November 1, 2011","January 9, 2035",2034,,John Hickenlooper,D,False,2021–2024,Denver,26.0,4585fcce-5a40-48ea-afb8-248951fd79ac,male,unsure,white,"prosecutor, misc. private practice, judicial","appointed, retention elected","november 21, 2011","january 13, 2025","november 5, 2024",High
Colorado,William W. Hood III,1963,"January 13, 2014","January 12, 2027",2035,,John Hickenlooper,D,False,,Virginia,343.0,57e39687-30bc-44d9-a5ef-ed0c347d77be,male,democrat,white,"prosecutor, corporate, plaintiff-side civil private practice, misc. private practice, judicial","appointed, retention elected","january 13, 2014","january 11, 2027","november 3, 2026",High
Colorado,Richard L. Gabriel,"March 3, 1962","September 1, 2015","January 9, 2029",2034,,John Hickenlooper,D,False,,Penn,275.0,d29188d5-d192-4766-8a24-e0a909f088c8,male,democrat,white,"prosecutor, corporate, plaintiff-side civil private practice, judicial","appointed, retention elected","june 23, 2015","january 7, 2029","november 7, 2028",High
Colorado,Carlos Samour,1966 or 1967,"July 2, 2018","January 14, 2031",2039,,John Hickenlooper,D,False,,Denver,38.0,f79c9546-d806-4f92-bb4f-717129ea5f87,male,unsure,latino,"prosecutor, corporate, judicial","appointed, retention elected","july 2, 2018","january 14, 2031","november 5, 2030",High
Colorado,Maria Berkenkotter,1962 or 1963,"January 4, 2021","January 9, 2035",2035,,Jared Polis,D,False,,Denver,213.0,9841d94a-e553-49da-b9a5-4d5c755771e5,female,unsure,white,"corporate, government civil (non civil rights), judicial",appointed,"january 1, 2021","january 1, 2025","november 5, 2024",High
Colorado,Susan Blanco,1977 or 1978,"February 17, 2026","January 14, 2031",2049,,Jared Polis,D,False,,Boulder,,,,,,,,,,,
Connecticut,Raheem L. Mullins,"March 10, 1978","November 1, 2017",2033,2048,,Ned Lamont,D,True,,Northeastern,264.0,e1bafe3b-ba68-4cef-b0f0-849f77aae08e,male,democrat,black,"prosecutor, judicial","appointed, leg confirmed","november 1, 2017","november 1, 2025",requires re-nomination and re-confirmation,High
Connecticut,Andrew J. McDonald,"March 11, 1966","January 24, 2013",2029,2036,,Dannel Malloy,D,False,,Connecticut,5.0,8bc86c7c-ed0a-499f-bca5-fdced395bf57,male,democrat,white,"corporate, government civil (non civil rights), legislative experience, other exec branch experience","appointed, leg confirmed","january 24, 2013","january 24, 2029",requires re-nomination and re-confirmation,High
Connecticut,Gregory D'Auria,"June 24, 1963","April 10, 2017",2033,2033,,Dannel Malloy,D,False,,Connecticut,121.0,59159d8b-6db2-4865-8d33-1fcb35925a51,male,democrat,white,"corporate, government civil (non civil rights)","appointed, leg confirmed","april 10, 2017","march 8, 2025",requires re-nomination and re-confirmation,High
Connecticut,Steven D. Ecker,"April 19, 1961","May 3, 2018",2026,2031,,Dannel Malloy,D,False,,Harvard,312.0,e9b1b2a0-f67a-4bf9-9790-e713e56152dd,male,democrat,white,"corporate, plaintiff-side civil private practice, misc. private practice, judicial","appointed, leg confirmed","may 3, 2018","may 3, 2026",requires re-nomination and re-confirmation,High
Connecticut,Joan K. Alexander,May 1962,"April 30, 2022",2030,2032,,Ned Lamont,D,False,,Connecticut,,,,,,,,,,,
Connecticut,Nora Dannehy,"March 11, 1961","September 26, 2023",2031,2031,,Ned Lamont,D,False,,Harvard,245.0,217d3d1b-a0a7-4d0e-88af-38b5d7c8e1ef,female,democrat,white,"prosecutor, other exec branch experience","appointed, leg confirmed","september 27, 2023",2031,requires re-nomination and re-confirmation,High
Connecticut,William H. Bright Jr.,"August 15, 1962","March 5, 2025",2032,2032,,Ned Lamont,D,False,,Chicago,339.0,49301d52-f040-4919-9e99-afb6e862de0c,male,democrat,white,"corporate, judicial","appointed, leg confirmed","march 5, 2025",2032,,High
Florida,Carlos G. Muñiz,"June 25, 1969","January 22, 2019","January 5, 2027",2044,,Ron DeSantis,R,True,2022–present,Yale,39.0,bc1b7e8b-2923-4395-96ac-5063266353fa,male,republican,latino,"civil rights for govt, corporate, government civil (non civil rights), legislative experience, other exec branch experience","appointed, retention elected","january 22, 2019","january 5, 2027","november 3, 2026",High
Florida,Jorge Labarga,"October 21, 1952","January 6, 2009","January 2, 2029",2027,,Charlie Crist,R,False,2014–2018,Florida,168.0,1ef99093-5ba7-4df6-99e2-8006770ccfcd,male,republican,latino,"prosecutor, public defender/other indigent defense, plaintiff-side civil private practice, judicial","appointed, retention elected","january 6, 2009","january 2, 2029","november 7, 2028",High
Florida,John D. Couriel,"March 23, 1978","June 1, 2020","January 2, 2029",2053,,Ron DeSantis,R,False,,Harvard,153.0,58a6b3e7-ad8c-486a-bb94-3b5517991905,male,republican,latino,"prosecutor, corporate, misc. private practice","appointed, retention elected","june 1, 2020",january 2029,"november 7, 2028",High
Florida,Jamie Grosshans,"October 27, 1978","September 14, 2020","January 2, 2029",2053,,Ron DeSantis,R,False,,Mississippi,135.0,e4ec4ed1-4ca6-490b-98b4-537f8da85494,female,unsure,white,"prosecutor, misc. private practice, judicial","appointed, retention elected","september 14, 2020",january 2029,"november 7, 2028",High
Florida,Renatha Francis,"November 23, 1977","September 1, 2022","January 6, 2031",2052,,Ron DeSantis,R,False,,Florida Coastal,270.0,d47540ac-00a4-49ac-82ad-1a60b5c752dd,female,republican,black,"misc. private practice, judicial","appointed, retention elected","september 1, 2022","december 31, 2024","november 8, 2024",High
Florida,Meredith Sasso,"February 15, 1983","May 25, 2023","January 6, 2031",2058,,Ron DeSantis,R,False,,Florida,232.0,c6d349e9-fa9b-41cf-af8f-e465ae2b0554,female,republican,latino,", cuban american","corporate, other exec branch experience","appointed, retention elected","may 25, 2023","january 3, 2025",High
Florida,Adam Tanenbaum,"February 6, 1972","January 15, 2026","January 2, 2029",2047,,Ron DeSantis,R,False,,Georgetown,1.0,cfbd5291-301d-4e40-b39e-941000c61a63,male,republican,white,"government civil (non civil rights), judicial, legislative experience, other exec branch experience",appointed,"january 14, 2026","january 2, 2029",,High
Georgia,Nels S. D. Peterson,"September 17, 1978","January 1, 2017",2030,,,Nathan Deal,R,True,2025–present,Harvard,243.0,6343c1ff-26e4-4dcf-98e7-6d2db253bcce,male,republican,white,"corporate, government civil (non civil rights), judicial, other exec branch experience","appointed, elected, nonpartisan","january 1, 2017","december 31, 2024","november 5, 2024",High
